order_id,cust_id,prod_id,order_date,quantity,discount_pct,status,channel,payment_method
1,779,41,2025-04-17,2,5,Shipped,In-Store,Credit Card
2,48,21,2025-06-16,1,0,Cancelled,In-Store,Crypto
3,150,16,2025-07-21,9,5,Returned,Mobile,PayPal
4,180,6,2025-04-22,10,20,Pending,Mobile,Crypto
5,935,38,2026-02-25,3,0,Pending,In-Store,Crypto
6,262,43,2025-12-13,1,20,Pending,In-Store,PayPal
7,76,29,2025-10-29,6,10,Cancelled,Partner,Bank Transfer
8,468,20,2026-02-13,4,5,Pending,Web,PayPal
9,391,37,2025-06-24,6,10,Cancelled,In-Store,Credit Card
10,850,43,2025-11-14,7,0,Shipped,Web,Crypto
11,853,19,2026-02-09,4,10,Cancelled,Mobile,PayPal
12,636,17,2025-03-29,3,15,Shipped,Web,Bank Transfer
13,808,29,2025-10-05,1,10,Cancelled,Mobile,Credit Card
14,932,19,2025-12-16,6,15,Pending,Mobile,PayPal
15,136,35,2025-03-04,6,10,Returned,In-Store,PayPal
16,264,31,2026-01-19,5,15,Cancelled,Web,Crypto
17,987,5,2025-07-29,3,20,Shipped,Partner,Bank Transfer
18,93,26,2025-04-29,1,0,Returned,Web,Crypto
19,378,44,2026-01-04,5,10,Pending,In-Store,Credit Card
20,692,15,2025-05-08,8,0,Returned,In-Store,PayPal
21,664,5,2025-06-09,8,15,Cancelled,Partner,Credit Card
22,144,3,2025-09-05,1,0,Pending,Web,Credit Card
23,241,35,2026-01-28,3,5,Pending,In-Store,Crypto
24,602,48,2025-08-25,3,5,Shipped,Partner,Crypto
25,962,18,2026-01-24,1,15,Cancelled,Mobile,Crypto
26,456,16,2025-03-18,6,0,Cancelled,In-Store,Credit Card
27,408,18,2025-05-25,4,0,Pending,Web,PayPal
28,658,41,2025-06-19,10,0,Shipped,In-Store,PayPal
29,129,37,2025-08-10,4,0,Returned,Mobile,PayPal
30,833,15,2025-08-04,6,20,Shipped,Web,Bank Transfer
31,880,10,2025-03-13,3,10,Cancelled,Mobile,Credit Card
32,677,2,2025-11-28,3,0,Cancelled,Mobile,Bank Transfer
33,17,12,2025-12-02,5,0,Shipped,Partner,Credit Card
34,764,5,2025-08-13,8,5,Cancelled,Web,Crypto
35,516,15,2025-03-28,10,0,Returned,In-Store,Crypto
36,659,2,2025-09-16,1,5,Pending,Partner,Credit Card
37,503,46,2025-04-15,8,0,Shipped,In-Store,PayPal
38,68,9,2026-02-20,5,10,Returned,In-Store,Crypto
39,612,34,2025-10-13,5,5,Returned,Partner,Credit Card
40,813,45,2025-11-22,2,20,Returned,Mobile,Crypto
41,463,15,2025-03-06,7,0,Pending,Partner,Crypto
42,748,7,2025-07-16,6,5,Cancelled,In-Store,Bank Transfer
43,977,10,2026-01-24,8,0,Shipped,Web,Credit Card
44,443,7,2025-07-16,6,20,Shipped,Web,Bank Transfer
45,687,8,2025-03-12,7,0,Pending,Web,Bank Transfer
46,615,20,2025-10-30,6,0,Returned,Mobile,PayPal
47,673,31,2025-11-09,4,20,Shipped,In-Store,Bank Transfer
48,118,49,2025-06-29,5,10,Shipped,Partner,Credit Card
49,624,43,2025-12-17,5,0,Shipped,In-Store,Bank Transfer
50,944,22,2026-01-05,6,0,Shipped,Mobile,Crypto
51,72,10,2025-12-10,1,0,Returned,Mobile,Crypto
52,430,30,2025-07-26,6,0,Cancelled,In-Store,Bank Transfer
53,796,37,2025-07-02,10,0,Shipped,Mobile,PayPal
54,773,40,2026-02-07,1,15,Shipped,In-Store,Crypto
55,678,28,2025-11-17,8,10,Pending,Partner,Bank Transfer
56,221,49,2025-09-17,9,0,Cancelled,Partner,Credit Card
57,291,44,2025-08-24,10,5,Returned,In-Store,Credit Card
58,226,26,2025-06-04,10,0,Shipped,Mobile,Bank Transfer
59,969,14,2026-01-27,3,20,Cancelled,In-Store,Bank Transfer
60,123,1,2026-01-29,8,15,Pending,Mobile,PayPal
61,390,35,2025-03-30,4,10,Returned,In-Store,Credit Card
62,407,48,2025-10-28,1,5,Shipped,Partner,Credit Card
63,883,21,2025-06-23,10,5,Returned,Partner,Crypto
64,297,8,2025-09-01,7,0,Cancelled,Mobile,Crypto
65,852,45,2025-04-09,6,0,Pending,Web,PayPal
66,447,38,2025-12-20,7,10,Shipped,Partner,Bank Transfer
67,764,22,2025-12-19,4,0,Shipped,Web,Credit Card
68,544,33,2025-04-07,4,20,Cancelled,In-Store,PayPal
69,242,7,2025-03-26,3,0,Shipped,Mobile,PayPal
70,779,49,2025-07-13,2,0,Pending,Partner,Crypto
71,698,37,2025-04-24,10,0,Cancelled,Mobile,Crypto
72,70,31,2025-12-17,8,15,Cancelled,In-Store,Credit Card
73,361,33,2025-12-09,2,0,Pending,Partner,Credit Card
74,59,24,2026-01-09,5,0,Shipped,Partner,Crypto
75,595,36,2025-03-02,1,5,Returned,Mobile,Bank Transfer
76,620,31,2025-03-03,9,0,Shipped,Partner,Credit Card
77,831,22,2025-12-19,2,10,Shipped,Web,PayPal
78,725,29,2026-01-11,8,10,Returned,Mobile,Bank Transfer
79,382,19,2025-10-10,7,5,Cancelled,Web,Bank Transfer
80,68,22,2025-04-25,2,10,Pending,In-Store,Bank Transfer
81,742,43,2025-10-14,10,20,Shipped,In-Store,Credit Card
82,597,43,2026-01-11,3,0,Cancelled,Partner,PayPal
83,610,46,2025-08-14,2,0,Returned,Partner,Bank Transfer
84,833,9,2026-01-12,9,0,Pending,In-Store,Credit Card
85,372,20,2025-12-11,3,0,Cancelled,Partner,PayPal
86,232,9,2025-04-06,3,0,Cancelled,Web,Credit Card
87,678,22,2025-04-12,10,0,Returned,Partner,PayPal
88,167,12,2025-11-11,10,20,Shipped,Partner,Credit Card
89,421,24,2025-05-11,4,5,Returned,In-Store,Crypto
90,240,35,2025-11-27,4,0,Pending,Mobile,Bank Transfer
91,695,37,2025-03-28,8,5,Cancelled,Partner,Crypto
92,990,11,2025-04-01,4,20,Returned,Mobile,Bank Transfer
93,54,42,2026-02-10,8,20,Cancelled,Web,Credit Card
94,292,6,2025-02-28,3,0,Pending,Mobile,Crypto
95,94,15,2025-12-13,8,0,Shipped,Partner,Credit Card
96,406,33,2025-05-23,6,0,Pending,Web,Bank Transfer
97,230,2,2025-03-17,6,0,Cancelled,Mobile,PayPal
98,40,19,2025-03-28,8,15,Shipped,Partner,Crypto
99,631,1,2025-06-24,2,0,Cancelled,Mobile,PayPal
100,562,47,2025-09-08,10,10,Pending,Web,Bank Transfer
101,244,20,2025-08-20,2,0,Shipped,Partner,Crypto
102,65,8,2025-05-10,8,10,Returned,Web,PayPal
103,736,10,2026-02-23,5,5,Shipped,In-Store,PayPal
104,585,27,2025-10-06,3,15,Shipped,In-Store,Credit Card
105,977,34,2025-05-06,9,10,Returned,Web,Crypto
106,895,31,2025-06-12,1,15,Pending,In-Store,Bank Transfer
107,766,2,2025-11-01,6,20,Shipped,In-Store,PayPal
108,751,43,2026-01-09,2,20,Returned,In-Store,PayPal
109,46,23,2025-03-21,9,0,Shipped,Partner,Crypto
110,647,12,2025-05-05,3,0,Pending,Web,Bank Transfer
111,207,3,2025-03-01,4,0,Cancelled,In-Store,Crypto
112,835,35,2025-05-02,8,0,Shipped,Mobile,Bank Transfer
113,366,50,2025-05-10,1,20,Cancelled,In-Store,Credit Card
114,819,24,2025-04-20,7,5,Pending,Partner,Bank Transfer
