shipment_id,order_id,carrier,tracking_number,ship_date,delivery_date,weight_kg,shipping_cost,status
1,1,FedEx,IE44218299,2025-04-21,2025-04-23,1.4,23.3,Delivered
2,3,USPS,NY47812248,2025-07-24,2025-07-25,6.91,35.29,Returned
3,10,DHL,BC05670867,2025-11-16,2025-11-18,15.28,13.02,Delivered
4,12,UPS,FX90043655,2025-04-03,2025-04-06,15.35,25.18,Delivered
5,15,FedEx,PA84826691,2025-03-07,2025-03-12,11.46,10.27,Returned
6,17,USPS,TK24835505,2025-07-31,2025-08-02,15.74,43.06,Delivered
7,18,FedEx,NP96080706,2025-05-04,2025-05-10,6.58,27.27,Returned
8,20,DPD,XN69987950,2025-05-12,2025-05-18,15.8,39.65,Returned
9,24,UPS,ZQ82210401,2025-08-28,2025-08-30,9.49,43.24,Delivered
10,28,FedEx,JE81880442,2025-06-22,2025-06-25,6.19,37.16,Delivered
11,29,UPS,ZR73836381,2025-08-13,2025-08-17,8.56,21.5,Returned
12,30,USPS,HK32126942,2025-08-08,2025-08-09,1.2,22.21,Delivered
13,33,UPS,XU46420362,2025-12-04,2025-12-08,0.49,36.1,Delivered
14,35,UPS,CY86314417,2025-03-30,2025-04-05,5.97,20.55,Returned
15,37,USPS,ZY46255402,2025-04-18,2025-04-22,6.58,29.32,Delivered
16,38,FedEx,QF35582430,2026-02-22,2026-03-01,12.39,23.68,Returned
17,39,DHL,HG76464489,2025-10-16,2025-10-17,4.94,18.3,Returned
18,40,DPD,LR03153888,2025-11-26,2025-12-02,9.45,48.64,Returned
19,43,USPS,RO52790504,2026-01-25,2026-02-01,13.79,45.72,Delivered
20,44,UPS,HQ04333353,2025-07-20,2025-07-22,19.74,30.55,Delivered
21,46,DHL,GT95163211,2025-10-31,2025-11-01,12.83,15.97,Returned
22,47,UPS,MP97871809,2025-11-12,2025-11-16,2.31,9.31,Delivered
23,48,USPS,OC91373265,2025-06-30,2025-07-03,16.5,44.08,Delivered
24,49,DPD,YG60119875,2025-12-22,2025-12-25,4.08,7.14,Delivered
25,50,DPD,NB78688002,2026-01-07,2026-01-10,10.98,34.05,Delivered
26,51,UPS,MH09156182,2025-12-15,2025-12-20,13.82,9.6,Returned
27,53,UPS,MH03657744,2025-07-03,2025-07-10,19.15,19.98,Delivered
28,54,FedEx,ID60936595,2026-02-11,2026-02-17,3.76,25.01,Delivered
29,57,UPS,GI14911894,2025-08-28,2025-08-31,4.06,48.66,Returned
30,58,DPD,LI43368750,2025-06-07,2025-06-10,14.98,4.09,Delivered
31,61,USPS,JE63223998,2025-03-31,2025-04-06,8.6,40.89,Returned
32,62,DPD,QC37455611,2025-10-29,2025-11-05,1.3,49.51,Delivered
33,63,DPD,XY42886050,2025-06-26,2025-06-27,8.8,4.51,Returned
34,66,UPS,SG53766608,2025-12-25,2026-01-01,15.82,26.12,Delivered
35,67,DHL,NX12600308,2025-12-24,2025-12-27,14.72,29.57,Delivered
36,69,DHL,EU66910627,2025-03-31,2025-04-07,10.68,40.53,Delivered
37,74,USPS,BG31234550,2026-01-10,2026-01-15,12.24,49.67,Delivered
38,75,USPS,WJ82691776,2025-03-03,2025-03-10,16.37,24.89,Returned
39,76,UPS,PT29384401,2025-03-05,2025-03-11,1.55,33.45,Delivered
40,77,DPD,EQ80873543,2025-12-22,2025-12-26,15.64,37.75,Delivered
41,78,USPS,NU88260335,2026-01-15,2026-01-16,11.54,3.3,Returned
42,81,DHL,GX10157090,2025-10-18,2025-10-19,4.58,23.08,Delivered
